Code,Description1,Description2,Type,Unknown1,Unknown2,Unknown3,Unknown4,last_updated
X1006008,"care, and clinicians providing comprehensive care to patients in addition to",,,,,,,2025-09-12 20:34:03
X1007008,specialty care,,,,,,,2025-09-12 20:34:03
X2001007,Continuous/focused services: for reporting services by clinicians whose,Continuous/focused services,,,C,,201801012018,2025-09-12 20:34:03
X2002008,expertise is needed for the ongoing management of a chronic disease or a,,,,,,,2025-09-12 20:34:03
X2003008,condition that needs to be managed and followed with no planned endpoint to the,,,,,,,2025-09-12 20:34:03
X2004008,relationship; reporting clinician service examples include but are not limited,,,,,,,2025-09-12 20:34:03
X2005008,to: a rheumatologist taking care of the patient's rheumatoid arthritis,,,,,,,2025-09-12 20:34:03
X2006008,longitudinally but not providing general primary care services,,,,,,,2025-09-12 20:34:03
X3001007,Episodic/broad services: for reporting services by clinicians who have broad,Episodic/broad services,,,C,,201801012018,2025-09-12 20:34:03
X3002008,responsibility for the comprehensive needs of the patient that is limited to a,,,,,,,2025-09-12 20:34:03
X3003008,defined period and circumstance such as a hospitalization; reporting clinician,,,,,,,2025-09-12 20:34:03
X3004008,service examples include but are not limited to the hospitalist's services,,,,,,,2025-09-12 20:34:03
X3005008,rendered providing comprehensive and general care to a patient while admitted,,,,,,,2025-09-12 20:34:03
X3006008,to the hospital,,,,,,,2025-09-12 20:34:03
X4001007,Episodic/focused services: for reporting services by clinicians who provide,Episodic/focused services,,,C,,201801012018,2025-09-12 20:34:03
X4002008,focused care on particular types of treatment limited to a defined period and,,,,,,,2025-09-12 20:34:03
X4003008,"circumstance; the patient has a problem, acute or chronic, that will be treated",,,,,,,2025-09-12 20:34:03
X4004008,"with surgery, radiation, or some other type of generally time-limited",,,,,,,2025-09-12 20:34:03
X4005008,intervention; reporting clinician service examples include but are not limited,,,,,,,2025-09-12 20:34:03
X4006008,"to, the orthopedic surgeon performing a knee replacement and seeing the patient",,,,,,,2025-09-12 20:34:03
X4007008,through the postoperative period,,,,,,,2025-09-12 20:34:03
X5001007,Diagnostic services requested by another clinician: for reporting services by a,Svc req by another clinician,,,C,,201801012018,2025-09-12 20:34:03
X5002008,clinician who furnishes care to the patient only as requested by another,,,,,,,2025-09-12 20:34:03
X5003008,clinician or subsequent and related services requested by another clinician;,,,,,,,2025-09-12 20:34:03
X5004008,this modifier is reported for patient relationships that may not be adequately,,,,,,,2025-09-12 20:34:03
X5005008,captured by the above alternative categories; reporting clinician service,,,,,,,2025-09-12 20:34:03
X5006008,"examples include but are not limited to, the radiologist's interpretation of an",,,,,,,2025-09-12 20:34:03
X5007008,imaging study requested by another clinician,,,,,,,2025-09-12 20:34:03
XE001007,"Separate encounter, a service that is distinct because it occurred during a",Separate encounter,,,C,,201501012015,2025-09-12 20:34:03
XE002008,separate encounter,,,,,,,2025-09-12 20:34:03
XP001007,"Separate practitioner, a service that is distinct because it was performed by a",Separate practitioner,,,C,,201501012015,2025-09-12 20:34:03
XP002008,different practitioner,,,,,,,2025-09-12 20:34:03
XS001007,"Separate structure, a service that is distinct because it was performed on a",Separate organ/structure,,,C,,201501012015,2025-09-12 20:34:03
XS002008,separate organ/structure,,,,,,,2025-09-12 20:34:03
XU001007,"Unusual non-overlapping service, the use of a service that is distinct because",Unusual separate service,,,C,,201501012015,2025-09-12 20:34:03
XU002008,it does not overlap usual components of the main service,,,,,,,2025-09-12 20:34:03
ZA001007,Novartis/sandoz,Novartis/sandoz,,,C,,201601012018,2025-09-12 20:34:03
ZB001007,Pfizer/hospira,Pfizer/hospira,,,C,,201607012018,2025-09-12 20:34:03
ZC001007,Merck/samsung bioepis,Merck/samsung bioepis,,,C,,201710012018,2025-09-12 20:34:03
A0021001003,"Ambulance service, outside state per mile, transport (medicaid only)",Outside state ambulance serv00      9,,A0030,I,O1A,D      0198501011996,2025-09-12 20:34:03
A0080001003,"Non-emergency transportation, per mile - vehicle provided by volunteer",Noninterest escort in non er00      9,,,I,O1A,D      0198201012003,2025-09-12 20:34:03
A0080002004,"(individual or organization), with no vested interest",,,,,,,2025-09-12 20:34:03
A0090001003,"Non-emergency transportation, per mile - vehicle provided by individual (family",Interest escort in non er   00      9,,,I,O1A,D      0198201012003,2025-09-12 20:34:03
A0090002004,"member, self, neighbor) with vested interest",,,,,,,2025-09-12 20:34:03
A0100001003,Non-emergency transportation; taxi,Nonemergency transport taxi 00      9,,,I,O1A,D      0198201012003,2025-09-12 20:34:03
A0110001003,"Non-emergency transportation and bus, intra or inter state carrier",Nonemergency transport bus  00      9,,,I,O1A,D      0198401011995,2025-09-12 20:34:03
A0120001003,"Non-emergency transportation: mini-bus, mountain area transports, or other",Noner transport mini-bus    00      9,,,I,O1A,D      0198201012003,2025-09-12 20:34:03
A0120002004,transportation systems,,,,,,,2025-09-12 20:34:03
A0130001003,Non-emergency transportation: wheelchair van,Noner transport wheelch van 00      9,,,I,O1A,D      0198201011982,2025-09-12 20:34:03
A0140001003,Non-emergency transportation and air travel (private or commercial) intra or,Nonemergency transport air  00      9,,,I,O1A,D      0198501011996,2025-09-12 20:34:03
A0140002004,inter state,,,,,,,2025-09-12 20:34:03
A0160001003,Non-emergency transportation: per mile - case worker or social worker,Noner transport case worker 00      9,,,I,O1A,D      0198401011995,2025-09-12 20:34:03
A0170001003,"Transportation ancillary: parking fees, tolls, other",Transport parking fees/tolls00      9,,,I,O1A,D      0198201012003,2025-09-12 20:34:03
A0180001003,Non-emergency transportation: ancillary: lodging-recipient,Noner transport lodgng recip00      9,,,I,O1A,D      0198201011982,2025-09-12 20:34:03
A0190001003,Non-emergency transportation: ancillary: meals-recipient,Noner transport meals recip 00      9,,,I,O1A,D      0198401011984,2025-09-12 20:34:03
A0200001003,Non-emergency transportation: ancillary: lodging escort,Noner transport lodgng escrt00      9,,,I,O1A,D      0198201011982,2025-09-12 20:34:03
A0210001003,Non-emergency transportation: ancillary: meals-escort,Noner transport meals escort00      9,,,I,O1A,D      0198401011984,2025-09-12 20:34:03
A0225001003,"Ambulance service, neonatal transport, base rate, emergency transport, one way",Neonatal emergency transport00      9,,,I,O1A,D      0198501012003,2025-09-12 20:34:03
A0380001003,Bls mileage (per mile),Basic life support mileage  00      9,,A0425,I,O1A,D      0199501012003,2025-09-12 20:34:03
A0382001003,Bls routine disposable supplies,Basic support routine suppls00      9,,,I,O1A,D      0199501012014,2025-09-12 20:34:03
A0384001003,Bls specialized service disposable supplies; defibrillation (used by als,Bls defibrillation supplies 00      9,,,I,O1A,D      0199501012014,2025-09-12 20:34:03
A0384002004,ambulances and bls ambulances in jurisdictions where defibrillation is,,,,,,,2025-09-12 20:34:03
A0384003004,permitted in bls ambulances),,,,,,,2025-09-12 20:34:03
A0390001003,Als mileage (per mile),Advanced life support mileag00      9,,A0425,I,O1A,D      0199501012003,2025-09-12 20:34:03
A0392001003,Als specialized service disposable supplies; defibrillation (to be used only in,Als defibrillation supplies 00      9,,,I,O1A,D      0199501012014,2025-09-12 20:34:03
A0392002004,jurisdictions where defibrillation cannot be performed in bls ambulances),,,,,,,2025-09-12 20:34:03
A0394001003,Als specialized service disposable supplies; iv drug therapy,Als iv drug therapy supplies00      9,,,I,O1A,D      0199501012014,2025-09-12 20:34:03
A0396001003,Als specialized service disposable supplies; esophageal intubation,Als esophageal intub suppls 00      9,,,I,O1A,D      0199501012014,2025-09-12 20:34:03
A0398001003,Als routine disposable supplies,Als routine disposble suppls00      9,,,I,O1A,D      0199501012014,2025-09-12 20:34:03
A0420001003,"Ambulance waiting time (als or bls), one half (1/2) hour increments",Ambulance waiting 1/2 hr    00      9,,,I,O1A,D      0199501012014,2025-09-12 20:34:03
A0422001003,"Ambulance (als or bls) oxygen and oxygen supplies, life sustaining situation",Ambulance 02 life sustaining00      9,,,I,O1A,D      0199501012014,2025-09-12 20:34:03
A0424001003,"Extra ambulance attendant, ground (als or bls) or air (fixed or rotary winged);",Extra ambulance attendant   00      9,,,I,O1A,D      0199501012014,2025-09-12 20:34:03
A0424002004,(requires medical review),,,,,,,2025-09-12 20:34:03
A0425001003,"Ground mileage, per statute mile",Ground mileage              52      A,,,C,O1A,D      0200101012001,2025-09-12 20:34:03
A0426001003,"Ambulance service, advanced life support, non-emergency transport, level 1 (als",Als 1                       52      A,,,C,O1A,D      0200101012001,2025-09-12 20:34:03
A0426002004,1),,,,,,,2025-09-12 20:34:03
A0427001003,"Ambulance service, advanced life support, emergency transport, level 1 (als 1 -",Als1-emergency              52      A,,,C,O1A,D      0200101012001,2025-09-12 20:34:03
A0427002004,emergency),,,,,,,2025-09-12 20:34:03
A0428001003,"Ambulance service, basic life support, non-emergency transport, (bls)",Bls                         52      A,,,C,O1A,D      0200101012001,2025-09-12 20:34:03
A0429001003,"Ambulance service, basic life support, emergency transport (bls-emergency)",Bls-emergency               52      A,,,C,O1A,D      0200101012001,2025-09-12 20:34:03
A0430001003,"Ambulance service, conventional air services, transport, one way (fixed wing)",Fixed wing air transport    52      A,,,C,O1A,D      0200101012001,2025-09-12 20:34:03
A0431001003,"Ambulance service, conventional air services, transport, one way (rotary wing)",Rotary wing air transport   52      A,,,C,O1A,D      0200101012001,2025-09-12 20:34:03
A0432001003,"Paramedic intercept (pi), rural area, transport furnished by a volunteer",Pi volunteer ambulance co   52      A,,,C,O1A,D      0200101012001,2025-09-12 20:34:03
A0432002004,ambulance company which is prohibited by state law from billing third party,,,,,,,2025-09-12 20:34:03
A0432003004,payers,,,,,,,2025-09-12 20:34:03
A0433001003,"Advanced life support, level 2 (als 2)",Als 2                       52      A,,,C,O1A,D      0200101012001,2025-09-12 20:34:03
A0434001003,Specialty care transport (sct),Specialty care transport    52      A,,,C,O1A,D      0200101012001,2025-09-12 20:34:03
A0435001003,"Fixed wing air mileage, per statute mile",Fixed wing air mileage      52      A,,,C,O1A,D      0200101012001,2025-09-12 20:34:03
A0436001003,"Rotary wing air mileage, per statute mile",Rotary wing air mileage     52      A,,,C,O1A,D      0200101012001,2025-09-12 20:34:03
A0888001003,"Noncovered ambulance mileage, per mile (e.g., for miles traveled beyond closest",Noncovered ambulance mileage00      9                  2125,,,M,O1A,D      0199501011995,2025-09-12 20:34:03
A0888002004,appropriate facility),,,,,,,2025-09-12 20:34:03
A0998001003,"Ambulance response and treatment, no transport",Ambulance response/treatment00      9,,,I,O1A,D      0200601012006,2025-09-12 20:34:03
A0999001003,Unlisted ambulance service,Unlisted ambulance service  57      A                  2120.1  2125,,,D,O1A,D      0198701011998,2025-09-12 20:34:03
A2001001003,"Innovamatrix ac, per square centimeter","Innovamatrix ac, per sq cm  13      A",,,C,P5A,1      0202201012022,2025-09-12 20:34:03
A2002001003,"Mirragen advanced wound matrix, per square centimeter",Mirragen adv wnd mat per sq 13      A,,,C,P5A,1      0202201012022,2025-09-12 20:34:03
A2004001003,"Xcellistem, 1 mg","Xcellistem, 1 mg            13      A",,,C,P5A,1      0202201012022,2025-09-12 20:34:03
A2005001003,"Microlyte matrix, per square centimeter","Microlyte matrix, per sq cm 13      A",,,C,P5A,1      0202201012022,2025-09-12 20:34:03
A2006001003,"Novosorb synpath dermal matrix, per square centimeter",Novosorb synpath per sq cm  13      A,,,C,P5A,1      0202201012022,2025-09-12 20:34:03
A2007001003,"Restrata, per square centimeter","Restrata, per sq cm         13      A",,,C,P5A,1      0202201012022,2025-09-12 20:34:03
A2008001003,"Theragenesis, per square centimeter","Theragenesis, per sq cm     13      A",,,C,P5A,1      0202201012022,2025-09-12 20:34:03
A2009001003,"Symphony, per square centimeter","Symphony, per sq cm         13      A",,,C,P5A,1      0202201012022,2025-09-12 20:34:03
A2010001003,"Apis, per square centimeter","Apis, per square centimeter 13      A",,,C,P5A,1      0202201012022,2025-09-12 20:34:03
A2011001003,"Supra sdrm, per square centimeter","Supra sdrm, per sq cm       13      A",,,C,P5A,1      0202204012022,2025-09-12 20:34:03
A2012001003,"Suprathel, per square centimeter","Suprathel, per sq cm        13      A",,,C,P5A,1      0202204012022,2025-09-12 20:34:03
A2013001003,"Innovamatrix fs, per square centimeter","Innovamatrix fs, per sq cm  13      A",,,C,P5A,1      0202204012022,2025-09-12 20:34:03
A2014001003,"Omeza collagen matrix, per 100 mg",Omeza collag per 100 mg     13      A,,,C,P5A,1      0202210012022,2025-09-12 20:34:03
A2015001003,"Phoenix wound matrix, per square centimeter","Phoenix wnd mtrx, per sq cm 13      A",,,C,P5A,1      0202210012022,2025-09-12 20:34:03
A2016001003,"Permeaderm b, per square centimeter","Permeaderm b, per sq cm     13      A",,,C,P5A,1      0202210012022,2025-09-12 20:34:03
A2017001003,"Permeaderm glove, each","Permeaderm glove, each      13      A",,,C,P5A,1      0202210012022,2025-09-12 20:34:03
A2018001003,"Permeaderm c, per square centimeter","Permeaderm c, per sq cm     13      A",,,C,P5A,1      0202210012022,2025-09-12 20:34:03
A2019001003,"Kerecis omega3 marigen shield, per square centimeter",Kerecis marigen shld sq cm  13      A,,,C,P5A,1      0202304012023,2025-09-12 20:34:03
A2020001003,Ac5 advanced wound system (ac5),Ac5 wound system            13      A,,,C,P5A,1      0202304012023,2025-09-12 20:34:03
A2021001003,"Neomatrix, per square centimeter",Neomatrix per sq cm         13      A,,,C,P5A,1      0202304012023,2025-09-12 20:34:03
A2022001003,"Innovaburn or innovamatrix xl, per square centimeter",Innovabrn/innovamatx xl sqcm13      A,,,C,P5A,1      0202310012023,2025-09-12 20:34:03
A2023001003,"Innovamatrix pd, 1 mg","Innovamatrix pd, 1 mg       13      A",,,C,P5A,1      0202310012023,2025-09-12 20:34:03
A2024001003,"Resolve matrix or xenopatch, per square centimeter",Resolve or xenopatch sq cm  13      A,,,C,P5A,1      0202310012024,2025-09-12 20:34:03
A2025001003,"Miro3d, per cubic centimeter",Miro3d per cubic cm         13      A,,,C,P5A,1      0202310012023,2025-09-12 20:34:03
A2026001003,"Restrata minimatrix, 5 mg","Restrata minimatrix, 5 mg   13      A",,,C,P5A,1      0202404012024,2025-09-12 20:34:03
A2027001003,"Matriderm, per square centimeter",Matriderm per sq cm         13      A,,,C,P5A,1      0202410012024,2025-09-12 20:34:03
A2028001003,"Micromatrix flex, per mg",Micromatrix flex per mg     13      A,,,C,P5A,1      0202410012024,2025-09-12 20:34:03
A2029001003,"Mirotract wound matrix sheet, per cubic centimeter",Mirotract matrix sheet      13      A,,,C,P5A,1      0202410012024,2025-09-12 20:34:03
A2030001003,"Miro3d fibers, per milligram","Miro3d fibers, per mg       13      A",,,C,P5A,1      0202504012025,2025-09-12 20:34:03
A2031001003,"Mirodry wound matrix, per square centimeter","Mirodry, per sq cm          13      A",,,C,P5A,1      0202504012025,2025-09-12 20:34:03
A2032001003,"Myriad matrix, per square centimeter","Myriad matrix, per sq cm    13      A",,,C,P5A,1      0202504012025,2025-09-12 20:34:03
A2033001003,"Myriad morcells, 4 milligrams","Myriad morcells, 4 mg       13      A",,,C,P5A,1      0202504012025,2025-09-12 20:34:03
A2034001003,"Foundation drs solo, per square centimeter","Found drs solo, per sq cm   13      A",,,C,P5A,1      0202504012025,2025-09-12 20:34:03
A2035001003,"Corplex p or theracor p or allacor p, per milligram",Corpl p therac p allac p mg 13      A,,,C,P5A,1      0202504012025,2025-09-12 20:34:03
A2036001003,"Cohealyx collagen dermal matrix, per square centimeter",Cohealyx col dml mx pr sq cm13      A,,,C,P5A,1      0202510012025,2025-09-12 20:34:03
A2037001003,"G4derm plus, per milliliter","G4derm plus, per ml         13      A",,,C,P5A,1      0202510012025,2025-09-12 20:34:03
A2038001003,"Marigen pacto, per square centimeter","Marigen pacto, per sq cm    13      A",,,C,P5A,1      0202510012025,2025-09-12 20:34:03
A2039001003,"Innovamatrix fd, per square centimeter","Innovamatrix fd, per sq cm  13      A",,,C,P5A,1      0202510012025,2025-09-12 20:34:03
A4100001003,"Skin substitute, fda cleared as a device, not otherwise specified",Skin sub fda clrd as dev nos13      A,,,C,P5A,1      0202204012022,2025-09-12 20:34:03
A4206001003,"Syringe with needle, sterile, 1 cc or less, each",1 cc sterile syringe&needle 00      9,,,C,D1A,S      0198501012008,2025-09-12 20:34:03
A4207001003,"Syringe with needle, sterile 2 cc, each",2 cc sterile syringe&needle 00      9,,,C,D1A,S      0198501012007,2025-09-12 20:34:03
A4208001003,"Syringe with needle, sterile 3 cc, each",3 cc sterile syringe&needle 00      9,,,C,D1A,S      0198501012007,2025-09-12 20:34:03
A4209001003,"Syringe with needle, sterile 5 cc or greater, each",5+ cc sterile syringe&needle00      9,,,C,D1A,S      0198501012007,2025-09-12 20:34:03
A4210001003,"Needle-free injection device, each",Nonneedle injection device  00      960-9,,,M,D1A,S      0198901011996,2025-09-12 20:34:03
A4211001003,Supplies for self-administered injections,Supp for self-adm injections00      9                  2049,,,D,D1A,S      0199301011997,2025-09-12 20:34:03
A4212001003,Non-coring needle or stylet with or without catheter,Non coring needle or stylet 57      A,,,C,D1A,S      0199301012000,2025-09-12 20:34:03
A4213001003,"Syringe, sterile, 20 cc or greater, each",20+ cc syringe only         00      9,,,C,D1A,S      0198501012007,2025-09-12 20:34:03
A4215001003,"Needle, sterile, any size, each",Sterile needle              00      9,,,C,D1A,LS     0198501012007,2025-09-12 20:34:03
A4216001003,"Sterile water, saline and/or dextrose, diluent/flush, 10 ml","Sterile water/saline, 10 ml 37      A                  2049",,,D,D1F,1LP    0200401012007,2025-09-12 20:34:03
A4217001003,"Sterile water/saline, 500 ml","Sterile water/saline, 500 ml37      A                  2049",,,D,D1F,1LP    0200401012004,2025-09-12 20:34:03
A4218001003,"Sterile saline or water, metered dose dispenser, 10 ml",Sterile saline or water     51      A,,,D,0127O1E,1LP    0200601012006,2025-09-12 20:34:03
A4220001003,Refill kit for implantable infusion pump,Infusion pump refill kit    57      A60-14,,,D,0050D1A,P      0199401011998,2025-09-12 20:34:03
A4221001003,"Supplies for maintenance of non-insulin drug infusion catheter, per week (list",Supp non-insulin inf cath/wk34      A,,,C,D1E,P      0199701012017,2025-09-12 20:34:03
A4221002004,drugs  separately),,,,,,,2025-09-12 20:34:03
A4222001003,"Infusion supplies for external drug infusion pump, per cassette or bag (list",Infusion supplies with pump 34      A,,,C,D1E,P      0199701012005,2025-09-12 20:34:03
A4222002004,drugs separately),,,,,,,2025-09-12 20:34:03
A4223001003,"Infusion supplies not used with external infusion pump, per cassette or bag",Infusion supplies w/o pump  00      9,,,C,D1A,P      0200501012007,2025-09-12 20:34:03
A4223002004,(list drugs separately),,,,,,,2025-09-12 20:34:03
A4224001003,"Supplies for maintenance of insulin infusion catheter, per week",Supply insulin inf cath/wk  34      A,,,C,D1E,P      0201701012017,2025-09-12 20:34:03
A4225001003,"Supplies for external insulin infusion pump, syringe type cartridge, sterile,",Sup/ext insulin inf pump syr34      A                  60-14,,,D,D1E,P      0201701012017,2025-09-12 20:34:03
A4225002004,each,,,,,,,2025-09-12 20:34:03
A4226001003,Supplies for maintenance of insulin infusion pump with dosage rate adjustment,Weekly supply maint cgs pump00      9,,,I,Z2,9      0202001012020,2025-09-12 20:34:03
A4226002004,"using therapeutic continuous glucose sensing, per week",,,,,,,2025-09-12 20:34:03
A4230001003,"Infusion set for external insulin pump, non needle cannula type",Infus insulin pump non needl34      A60-14,,,D,D1E,P      0199601012000,2025-09-12 20:34:03
A4231001003,"Infusion set for external insulin pump, needle type",Infusion insulin pump needle34      A60-14,,,D,D1E,P      0199601012000,2025-09-12 20:34:03
A4232001003,"Syringe with needle for external insulin pump, sterile, 3 cc",Syringe w/needle insulin 3cc00      960-14,,,I,D1E,P      0199601012003,2025-09-12 20:34:03
A4233001003,"Replacement battery, alkaline (other than j cell), for use with medically",Alkalin batt for glucose mon32      A,,,C,D1E,P      0200601012016,2025-09-12 20:34:03
A4233002004,"necessary home blood glucose monitor owned by patient, each",,,,,,,2025-09-12 20:34:03
A4234001003,"Replacement battery, alkaline, j cell, for use with medically necessary home",J-cell batt for glucose mon 32      A,,,C,D1E,P      0200601012016,2025-09-12 20:34:03
A4234002004,"blood glucose monitor owned by patient, each",,,,,,,2025-09-12 20:34:03
A4235001003,"Replacement battery, lithium, for use with medically necessary home blood",Lithium batt for glucose mon32      A,,,C,D1E,P      0200601012016,2025-09-12 20:34:03
A4235002004,"glucose monitor owned by patient, each",,,,,,,2025-09-12 20:34:03
A4236001003,"Replacement battery, silver oxide, for use with medically necessary home blood",Silvr oxide batt glucose mon32      A,,,C,D1E,P      0200601012016,2025-09-12 20:34:03
A4236002004,"glucose monitor owned by patient, each",,,,,,,2025-09-12 20:34:03
A4238001003,"Supply allowance for adjunctive, non-implanted continuous glucose monitor",Adju cgm supply allowance   34      A,,,C,D1E,9      0202204012023,2025-09-12 20:34:03
A4238002004,"(cgm), includes all supplies and accessories, 1 month supply = 1 unit of servic",e,,,,,,2025-09-12 20:34:03
A4239001003,"Supply allowance for non-adjunctive, non-implanted continuous glucose monitor",Non-adju cgm supply allow   34      A,,,C,D1E,9      0202301012023,2025-09-12 20:34:03
A4239002004,"(cgm), includes all supplies and accessories, 1 month supply = 1 unit of servic",e,,,,,,2025-09-12 20:34:03
A4244001003,"Alcohol or peroxide, per pint",Alcohol or peroxide per pint00      9,,,C,D1A,LS     0198501012007,2025-09-12 20:34:03
A4245001003,"Alcohol wipes, per box",Alcohol wipes per box       00      9,,,C,D1A,LS     0198501012007,2025-09-12 20:34:03
A4246001003,"Betadine or phisohex solution, per pint",Betadine/phisohex solution  00      9,,,C,D1A,LS     0198501012007,2025-09-12 20:34:03
A4247001003,"Betadine or iodine swabs/wipes, per box",Betadine/iodine swabs/wipes 00      9,,,C,D1A,LS     0198501012007,2025-09-12 20:34:03
A4248001003,"Chlorhexidine containing antiseptic, 1 ml",Chlorhexidine antisept      00      9,,,C,P9B,L      0200401012015,2025-09-12 20:34:03
A4250001003,Urine test or reagent strips or tablets (100 tablets or strips),Urine reagent strips/tablets00      9                  2100,,,M,T1E,9      0199001011997,2025-09-12 20:34:03
A4252001003,"Blood ketone test or reagent strip, each",Blood ketone test or strip  00      9                                          1861(n),,,S,D1E,P      0200801012008,2025-09-12 20:34:03
A4253001003,"Blood glucose test or reagent strips for home blood glucose monitor, per 50",Blood glucose/reagent strips32      A60-11,,,D,D1E,P      0198601011998,2025-09-12 20:34:03
A4253002004,strips,,,,,,,2025-09-12 20:34:03
A4255001003,"Platforms for home blood glucose monitor, 50 per box",Glucose monitor platforms   34      A60-11,,,D,D1E,P      0199701012002,2025-09-12 20:34:03
A4256001003,"Normal, low and high calibrator solution / chips",Calibrator solution/chips   34      A60-11,,,D,D1E,P      0198501012002,2025-09-12 20:34:03
A4257001003,"Replacement lens shield cartridge for use with laser skin piercing device, each",Replace lensshield cartridge34      A,,,C,D1E,P      0200201012002,2025-09-12 20:34:03
A4258001003,"Spring-powered device for lancet, each",Lancet device each          34      A60-11,,,D,D1E,P      0199601012002,2025-09-12 20:34:03
A4259001003,"Lancets, per box of 100",Lancets per box             34      A60-11,,,D,D1E,P      0198501011996,2025-09-12 20:34:03
A4261001003,Cervical cap for contraceptive use,Cervical cap contraceptive  00      9                                          1862a1,,,S,Z2,9      0199901011999,2025-09-12 20:34:03
A4262001003,"Temporary, absorbable lacrimal duct implant, each",Temporary tear duct plug    00      9,,,D,0052D1A,9      0199401011998,2025-09-12 20:34:03
A4263001003,"Permanent, long term, non-dissolvable lacrimal duct implant, each",Permanent tear duct plug    11      A                  15030,,,D,Y1,9      0199401011998,2025-09-12 20:34:03
A4264001003,Permanent implantable contraceptive intratubal occlusion device(s) and delivery,Intratubal occlusion device 00      9,,,I,Z2,9      0201001012010,2025-09-12 20:34:03
A4264002004,system,,,,,,,2025-09-12 20:34:03
A4265001003,"Paraffin, per pound",Paraffin                    34      A60-9,,,D,D1E,9      0198601012002,2025-09-12 20:34:03
A4266001003,Diaphragm for contraceptive use,Diaphragm                   00      9,,,I,Z2,9      0200301012003,2025-09-12 20:34:03
A4267001003,"Contraceptive supply, condom, male, each",Male condom                 00      9,,,I,Z2,9      0200301012003,2025-09-12 20:34:03
A4268001003,"Contraceptive supply, condom, female, each",Female condom               00      9,,,I,Z2,9      0200301012003,2025-09-12 20:34:03
A4269001003,"Contraceptive supply, spermicide (e.g., foam, gel), each",Spermicide                  00      9,,,I,Z2,9      0200301012003,2025-09-12 20:34:03
A4270001003,"Disposable endoscope sheath, each",Disposable endoscope sheath 00      9,,,C,P8D,9      0199401011996,2025-09-12 20:34:03
A4271001003,Integrated lancing and blood sample testing cartridges for home blood glucose,Home lancing/test cartridges34      A60-11,,,D,D1E,P      0202404012024,2025-09-12 20:34:03
A4271002004,"monitor, per 50 tests",,,,,,,2025-09-12 20:34:03
A4280001003,"Adhesive skin support attachment for use with external breast prosthesis, each",Brst prsths adhsv attchmnt  38      A,,,C,D1F,P      0200001012000,2025-09-12 20:34:03
A4281001003,"Tubing for breast pump, replacement",Replacement breastpump tube 00      9,,,C,Z2,9      0200301012007,2025-09-12 20:34:03
A4282001003,"Adapter for breast pump, replacement",Replacement breastpump adpt 00      9,,,C,Z2,9      0200301012007,2025-09-12 20:34:03
A4283001003,"Cap for breast pump bottle, replacement",Replacement breastpump cap  00      9,,,C,Z2,9      0200301012007,2025-09-12 20:34:03
A4284001003,"Breast shield and splash protector for use with breast pump, replacement",Replcmnt breast pump shield 00      9,,,C,Z2,9      0200301012007,2025-09-12 20:34:03
A4285001003,"Polycarbonate bottle for use with breast pump, replacement",Replcmnt breast pump bottle 00      9,,,C,Z2,9      0200301012007,2025-09-12 20:34:03
A4286001003,"Locking ring for breast pump, replacement",Replcmnt breastpump lok ring00      9,,,C,Z2,9      0200301012007,2025-09-12 20:34:03
A4287001003,"Disposable collection and storage bag for breast milk, any size, any type, each",Disp col sto bag breast milk46      A,,,C,Z2,9      0202401012024,2025-09-12 20:34:03
A4288001003,"Valve for breast pump, replacement",Replacement breastpump valve46      A,,,C,Z2,9      0202510012025,2025-09-12 20:34:03
A4290001003,"Sacral nerve stimulation test lead, each",Sacral nerve stim test lead 00      9,,,C,Z2,9      0200101012002,2025-09-12 20:34:03
A4300001003,"Implantable access catheter, (e.g., venous, arterial, epidural subarachnoid, or",Cath impl vasc access portal11      A                  2130,,,D,Y1,S      0198601012002,2025-09-12 20:34:03
A4300002004,"peritoneal, etc.) external access",,,,,,,2025-09-12 20:34:03
A4301001003,"Implantable access total catheter, port/reservoir (e.g., venous, arterial,",Implantable access syst perc00      9,,,C,D1A,S      0199601012003,2025-09-12 20:34:03
A4301002004,"epidural, subarachnoid, peritoneal, etc.)",,,,,,,2025-09-12 20:34:03
A4305001003,"Disposable drug delivery system, flow rate of 50 ml or greater per hour",Drug delivery system >=50 ml00      9,,,C,D1A,9      0199301012006,2025-09-12 20:34:03
A4306001003,"Disposable drug delivery system, flow rate of less than 50 ml per hour",Drug delivery system <=50 ml00      9,,,C,D1A,9      0199301012007,2025-09-12 20:34:03
A4310001003,Insertion tray without drainage bag and without catheter (accessories only),Insert tray w/o bag/cath    37      A                  2130,,,D,D1F,P      0199001011990,2025-09-12 20:34:03
A4311001003,"Insertion tray without drainage bag with indwelling catheter, foley type,",Catheter w/o bag 2-way latex37      A                  2130,,,D,D1F,P      0199001011990,2025-09-12 20:34:03
A4311002004,"two-way latex with coating (teflon, silicone, silicone elastomer or",,,,,,,2025-09-12 20:34:03
A4311003004,"hydrophilic, etc.)",,,,,,,2025-09-12 20:34:03
A4312001003,"Insertion tray without drainage bag with indwelling catheter, foley type,",Cath w/o bag 2-way silicone 37      A                  2130,,,D,D1F,P      0199001011990,2025-09-12 20:34:03
A4312002004,"two-way, all silicone",,,,,,,2025-09-12 20:34:03
A4313001003,"Insertion tray without drainage bag with indwelling catheter, foley type,",Catheter w/bag 3-way        37      A                  2130,,,D,D1F,P      0199001011990,2025-09-12 20:34:03
